ID,Title,Description,Risk,Category,TestSteps,Tools,References,Tags
API1:2023,Broken Object Level Authorization (BOLA),Verify protection against unauthorized object access,Critical,Authorization,"1. Enumerate API endpoints; 2. Test parameter tampering; 3. Access other objects","Burp Suite, curl, Postman",https://owasp.org/www-project-api-security/,API,IDOR
API2:2023,Broken Authentication,Verify robust authentication implementation,Critical,Authentication,"1. Test login endpoints; 2. Check token handling; 3. Verify session management","Burp Suite, OWASP ZAP",https://owasp.org/www-project-api-security/,API,Auth
API3:2023,Broken Object Property Level Authorization,Verify field-level access controls,High,Authorization,"1. Inspect API responses; 2. Test property access; 3. Check filtering","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,AccessControl
API4:2023,Unrestricted Resource Consumption,Verify rate limiting and resource controls,High,Rate Limiting,"1. Send rapid requests; 2. Monitor resource usage; 3. Check limits","Apache Bench, wrk",https://owasp.org/www-project-api-security/,API,RateLimit
API5:2023,Broken Function Level Authorization,Verify function-level access controls,High,Authorization,"1. Map API functions; 2. Test unauthorized access; 3. Check admin functions","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,RBAC
API6:2023,Unrestricted Access to Sensitive Business Flows,Verify sensitive operations are protected,High,Business Logic,"1. Map workflows; 2. Test bypass conditions; 3. Verify controls","Manual testing, Burp Suite",https://owasp.org/www-project-api-security/,API,BusinessLogic
API7:2023,Server Side Request Forgery (SSRF),Verify SSRF prevention,Critical,SSRF,"1. Test URL parameters; 2. Try internal addresses; 3. Check filtering","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,SSRF,Cloud
API8:2023,Improper Assets Management,Verify proper API versioning and deprecation,Medium,Inventory,"1. List all endpoints; 2. Check deprecated versions; 3. Verify deprecation","Postman, curl",https://owasp.org/www-project-api-security/,API,Inventory
API9:2023,Insufficient Logging & Monitoring,Verify comprehensive logging,High,Logging,"1. Perform actions; 2. Check logs; 3. Verify audit trail","grep, Log analysis",https://owasp.org/www-project-api-security/,API,Logging
API10:2023,Unsafe Consumption of APIs,Verify secure consumption of third-party APIs,Medium,Integration,"1. Review API consumption; 2. Check validation; 3. Verify error handling","Code review, Manual testing",https://owasp.org/www-project-api-security/,API,Integration
GRAPHQL-1,Introspection Enabled,Verify GraphQL introspection is disabled,Medium,GraphQL,"1. Query introspection; 2. Test schema discovery; 3. Check permissions","curl, Burp Suite",https://owasp.org/www-project-api-security/,API,GraphQL
GRAPHQL-2,Depth Limit Bypass,Verify depth limits are enforced,Medium,GraphQL,"1. Create deeply nested queries; 2. Monitor resource usage; 3. Check limits","Burp Suite, custom script",https://owasp.org/www-project-api-security/,API,GraphQL,DoS
GRAPHQL-3,Batch Queries,Verify batch query limits,Medium,GraphQL,"1. Send multiple queries; 2. Test batch limits; 3. Check rate limiting","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,GraphQL,RateLimit
GRAPHQL-4,N+1 Queries,Verify efficient query resolution,Medium,GraphQL,"1. Analyze query performance; 2. Check database calls; 3. Monitor resources","Network monitor, Code review",https://owasp.org/www-project-api-security/,API,GraphQL,Performance
GRAPHQL-5,Alias Mutation,Verify protection against alias exploits,Medium,GraphQL,"1. Test mutation aliases; 2. Check validation; 3. Verify limits","Burp Suite, custom script",https://owasp.org/www-project-api-security/,API,GraphQL
REST-1,API Versioning,Verify API versioning strategy,Medium,REST,"1. List API versions; 2. Check deprecation; 3. Verify migration","curl, Postman",https://owasp.org/www-project-api-security/,API,REST,Versioning
REST-2,Content Negotiation,Verify proper content type handling,Medium,REST,"1. Test different content types; 2. Check parsing; 3. Verify validation","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,REST
REST-3,HTTP Method Overrides,Verify HTTP method override protection,Medium,REST,"1. Test method override headers; 2. Check processing; 3. Verify filtering","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,REST
REST-4,XML External Entity (XXE),Verify XXE prevention in XML APIs,Critical,REST,"1. Send XXE payload; 2. Test external entity access; 3. Check filtering","Burp Suite, XXE scripts",https://owasp.org/www-project-api-security/,API,REST,XXE,Injection
REST-5,JSON Injection,Verify JSON injection prevention,High,REST,"1. Test JSON manipulation; 2. Check parsing; 3. Verify validation","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,REST,Injection
CORS-1,CORS Misconfiguration,Verify CORS is properly configured,High,CORS,"1. Test CORS headers; 2. Check allowed origins; 3. Test credentials","Burp Suite, curl",https://owasp.org/www-project-api-security/,API,CORS
OAUTH-1,OAuth Token Management,Verify OAuth tokens are securely handled,High,OAuth,"1. Capture tokens; 2. Test token usage; 3. Check expiration","Burp Suite, Network monitor",https://owasp.org/www-project-api-security/,API,OAuth
OAUTH-2,OAuth Scope Validation,Verify OAuth scopes are enforced,High,OAuth,"1. Test scope boundaries; 2. Check permissions; 3. Verify validation","Burp Suite, Manual testing",https://owasp.org/www-project-api-security/,API,OAuth
JWT-1,JWT Signature Validation,Verify JWT signatures are properly validated,Critical,JWT,"1. Inspect JWT tokens; 2. Test signature verification; 3. Try manipulation","jwt.io, Burp Suite",https://owasp.org/www-project-api-security/,API,JWT,Auth
JWT-2,JWT Secret Strength,Verify JWT secrets are strong,Critical,JWT,"1. Test secret strength; 2. Check algorithm; 3. Verify key length","jwt.io, Code review",https://owasp.org/www-project-api-security/,API,JWT,Crypto
