ID,Title,Description,Risk,Category,TestSteps,Tools,References,Tags
V1.1.1,Verify application architecture defined,Verify that the application architecture is documented and defines clear security responsibilities,High,Architecture,"1. Review architecture documentation; 2. Verify security requirements; 3. Check design patterns","Draw.io, ArchiMate, Threat modeling",https://cheatsheetseries.owasp.org/,Architecture,Design
V1.2.1,Verify security controls inventory,Verify that security controls are documented and tracked,High,Architecture,"1. Document all controls; 2. List implementation status; 3. Track testing","Spreadsheet, Jira",https://owasp.org/www-project-asvs/,Controls
V1.4.1,Verify open source components tracked,Verify open source components and their versions are tracked,Medium,Architecture,"1. Run SBOM tools; 2. Verify dependency list; 3. Check for updates","SYFT, CycloneDX, Dependency-Check",https://owasp.org/www-project-asvs/,SupplyChain,OpenSource
V2.1.1,Verify unique passwords,Verify that users can set unique passwords,High,Authentication,"1. Test password creation; 2. Verify uniqueness rules; 3. Check entropy","Burp Suite, OWASP ZAP",https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html,Auth,Password
V2.2.1,Verify password storage with salt,Verify that passwords are hashed with salt,Critical,Authentication,"1. Inspect password hashing; 2. Verify salt usage; 3. Check algorithm","bcrypt, OWASP ZAP, Hashcat",https://cheatsheetseries.owasp.org/cheatsheets/Password_Storage_Cheat_Sheet.html,Auth,Crypto
V2.3.1,Verify authentication flow,Verify that authentication mechanisms are properly implemented,High,Authentication,"1. Test login flow; 2. Verify session handling; 3. Check for bypasses","Burp Suite, Manual testing",https://owasp.org/www-project-asvs/,Auth
V3.1.1,Verify session token generation,Verify that session tokens are properly generated and tracked,High,Session Management,"1. Capture session tokens; 2. Analyze token format; 3. Check randomness","Burp Suite, OWASP ZAP",https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html,Session,Auth
V3.2.1,Verify session tokens invalidation,Verify that session tokens are invalidated on logout,High,Session Management,"1. Test logout flow; 2. Verify token invalidation; 3. Check re-access","Burp Suite, curl",https://owasp.org/www-project-asvs/,Session
V3.3.1,Verify session timeouts,Verify that sessions timeout properly,Medium,Session Management,"1. Monitor session duration; 2. Verify timeout enforcement; 3. Test re-authentication","Timer tools, Burp Suite",https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html,Session
V4.1.1,Verify access control definition,Verify that access control requirements are defined,High,Access Control,"1. Review AC requirements; 2. List roles and permissions; 3. Check documentation","Spreadsheet, JIRA",https://owasp.org/www-project-asvs/,AccessControl
V4.2.1,Verify role definitions,Verify that roles and permissions are properly defined,High,Access Control,"1. Map all roles; 2. List permissions per role; 3. Check for overlaps","Access Matrix, Spreadsheet",https://cheatsheetseries.owasp.org/cheatsheets/Access_Control_Cheat_Sheet.html,AccessControl,RBAC
V5.1.1,Verify input validation framework,Verify that input validation framework is in place,Critical,Input Validation,"1. Identify input validation points; 2. Test validation rules; 3. Check coverage","Burp Suite, OWASP ZAP",https://cheatsheetseries.owasp.org/cheatsheets/Input_Validation_Cheat_Sheet.html,InputValidation
V5.2.1,Verify XSS protection,Verify that XSS protection is implemented,Critical,Input Validation,"1. Test XSS payloads; 2. Verify output encoding; 3. Check CSP","OWASP ZAP, Burp Suite",https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,InputValidation,XSS
V5.3.1,Verify injection prevention,Verify that injection attacks are prevented,Critical,Input Validation,"1. Test SQL injection; 2. Verify parameterized queries; 3. Check for command injection","SQLmap, Burp Suite",https://cheatsheetseries.owasp.org/cheatsheets/Injection_Prevention_Cheat_Sheet.html,InputValidation,Injection
V6.1.1,Verify cryptographic algorithm usage,Verify that only strong cryptographic algorithms are used,Critical,Cryptography,"1. Identify crypto usage; 2. Check algorithm strength; 3. Verify key length","Burp Suite, openssl",https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html,Crypto,Encryption
