ID,Title,Description,Risk,Category,TestSteps,Tools,References,Tags
MASVS-STORAGE-1,Verify sensitive data not hardcoded,Verify that sensitive data is not hardcoded in application code,Critical,Storage,"1. Decompile/inspect application; 2. Search for hardcoded secrets; 3. Review source code","grep, strings, Radare2",https://mas.owasp.org/MASVS-STORAGE/,Mobile,Storage,Secrets
MASVS-STORAGE-2,Verify proper use of keystore,Verify that Keystore/KeyChain is used for sensitive data,Critical,Storage,"1. Test data storage; 2. Verify encryption at rest; 3. Check Keystore usage","Frida, objection, Android Studio",https://mas.owasp.org/MASVS-STORAGE/,Mobile,Encryption
MASVS-STORAGE-3,Verify no sensitive data in logs,Verify that no sensitive data is logged,High,Storage,"1. Monitor logs; 2. Search for sensitive info; 3. Check logging configuration","adb logcat, Console",https://mas.owasp.org/MASVS-STORAGE/,Mobile,Logging
MASVS-STORAGE-4,Verify no sensitive data in UI,Verify that sensitive data is not visible in UI elements,High,Storage,"1. Inspect UI elements; 2. Test keyboard caches; 3. Check autocomplete","Manual inspection, Frida",https://mas.owasp.org/MASVS-STORAGE/,Mobile,UI
MASVS-AUTH-1,Verify biometric authentication,Verify proper implementation of biometric authentication,High,Authentication,"1. Test biometric flow; 2. Check for bypasses; 3. Verify fallback","Manual testing, Frida",https://mas.owasp.org/MASVS-AUTH/,Mobile,Auth,Biometric
MASVS-AUTH-2,Verify secure authentication implementation,Verify that authentication is securely implemented,High,Authentication,"1. Test authentication flow; 2. Check for bypasses; 3. Verify tokens","Burp Suite, Frida",https://mas.owasp.org/MASVS-AUTH/,Mobile,Auth
MASVS-AUTH-3,Verify session management,Verify that sessions are properly managed,High,Authentication,"1. Capture session tokens; 2. Test token handling; 3. Verify expiration","Burp Suite, Network monitor",https://mas.owasp.org/MASVS-AUTH/,Mobile,Session
MASVS-NETWORK-1,Verify TLS in transit,Verify that all network communication uses TLS,Critical,Network,"1. Intercept traffic; 2. Check TLS version; 3. Verify certificate pinning","Burp Suite, Wireshark",https://mas.owasp.org/MASVS-NETWORK/,Mobile,TLS,Crypto
MASVS-NETWORK-2,Verify certificate pinning,Verify that certificate pinning is implemented,High,Network,"1. Test certificate pinning; 2. Try MITM attack; 3. Check implementation","Burp Suite, Frida",https://mas.owasp.org/MASVS-NETWORK/,Mobile,TLS,Pinning
MASVS-NETWORK-3,Verify no insecure protocols,Verify that insecure protocols are not used,High,Network,"1. Monitor network traffic; 2. Check protocol usage; 3. Verify encryption","Network monitor, adb",https://mas.owasp.org/MASVS-NETWORK/,Mobile,Network
MASVS-CRYPTO-1,Verify cryptographic algorithms,Verify that only strong cryptographic algorithms are used,Critical,Cryptography,"1. Identify crypto usage; 2. Check algorithm strength; 3. Verify key length","Frida, Code review",https://mas.owasp.org/MASVS-CRYPTO/,Mobile,Crypto
MASVS-CRYPTO-2,Verify random number generation,Verify that cryptographic RNG is used,High,Cryptography,"1. Test RNG usage; 2. Check entropy; 3. Verify seed","Frida, Radare2",https://mas.owasp.org/MASVS-CRYPTO/,Mobile,Crypto
MASVS-PLATFORM-1,Verify WebView security,Verify that WebViews are securely configured,High,Platform,"1. Test WebView; 2. Check for XSS; 3. Verify file access","Burp Suite, Frida",https://mas.owasp.org/MASVS-PLATFORM/,Mobile,WebView
MASVS-PLATFORM-2,Verify intent security,Verify that Intents are securely handled,High,Platform,"1. Test Intent handling; 2. Check for path traversal; 3. Verify permissions","adb shell am, Frida",https://mas.owasp.org/MASVS-PLATFORM/,Mobile,Intent
MASVS-PLATFORM-3,Verify permission model,Verify that app permissions are properly requested and enforced,High,Platform,"1. Review permissions; 2. Test permission enforcement; 3. Check runtime permissions","Manual review, adb",https://mas.owasp.org/MASVS-PLATFORM/,Mobile,Permissions
MASVS-RESILIENCE-1,Verify anti-debugging mechanisms,Verify that anti-debugging protections are in place,Medium,Resilience,"1. Test debugger attachment; 2. Check for anti-debug code; 3. Verify protection","Frida, gdb",https://mas.owasp.org/MASVS-RESILIENCE/,Mobile,Resilience
MASVS-RESILIENCE-2,Verify jailbreak/root detection,Verify that jailbreak/root detection is implemented,Medium,Resilience,"1. Test on jailbroken device; 2. Check detection methods; 3. Verify response","Frida, objection",https://mas.owasp.org/MASVS-RESILIENCE/,Mobile,Resilience
MASVS-RESILIENCE-3,Verify code obfuscation,Verify that code is obfuscated to prevent reverse engineering,Medium,Resilience,"1. Decompile app; 2. Check for obfuscation; 3. Verify readability","Frida, Radare2",https://mas.owasp.org/MASVS-RESILIENCE/,Mobile,Obfuscation
MASVS-RESILIENCE-4,Verify integrity monitoring,Verify that code integrity is monitored,Medium,Resilience,"1. Check integrity checks; 2. Test tampering; 3. Verify response","Frida, Code review",https://mas.owasp.org/MASVS-RESILIENCE/,Mobile,Integrity
MASVS-PRIVACY-1,Verify privacy controls,Verify that privacy controls are implemented,High,Privacy,"1. Review privacy policy; 2. Test data collection; 3. Check permissions","Manual review, adb",https://mas.owasp.org/MASVS-PRIVACY/,Mobile,Privacy,LGPD
