ID,Title,Description,Risk,Category,TestSteps,Tools,References,Tags
WSTG-INPV-01,Testing for Cross Site Scripting (XSS),Verify application is protected against XSS attacks,Critical,Input Validation,"1. Identify input points; 2. Test XSS payloads; 3. Check output encoding","OWASP ZAP, Burp Suite",https://owasp.org/www-project-web-security-testing-guide/,Web,XSS,Injection
WSTG-INPV-02,Testing for SQL Injection,Verify application is protected against SQL injection,Critical,Input Validation,"1. Identify database queries; 2. Test SQL injection payloads; 3. Check parameterization","sqlmap, Burp Suite",https://owasp.org/www-project-web-security-testing-guide/,Web,SQLi,Injection
WSTG-INPV-03,Testing for OS Command Injection,Verify OS commands are properly sanitized,Critical,Input Validation,"1. Identify command execution; 2. Test command injection; 3. Check input filtering","Burp Suite, Manual testing",https://owasp.org/www-project-web-security-testing-guide/,Web,CommandInjection,Injection
WSTG-INPV-04,Testing for LDAP Injection,Verify LDAP queries are protected,High,Input Validation,"1. Identify LDAP queries; 2. Test injection payloads; 3. Check encoding","Burp Suite, Custom scripts",https://owasp.org/www-project-web-security-testing-guide/,Web,LDAPInjection,Injection
WSTG-INPV-05,Testing for XML Injection,Verify XML is properly validated,High,Input Validation,"1. Identify XML processing; 2. Test XXE payloads; 3. Check entity handling","Burp Suite, XXE scripts",https://owasp.org/www-project-web-security-testing-guide/,Web,XXE,Injection
WSTG-INPV-06,Testing for SSI Injection,Verify SSI commands are not processed from input,High,Input Validation,"1. Identify SSI usage; 2. Test SSI payloads; 3. Check filtering","Burp Suite, Manual testing",https://owasp.org/www-project-web-security-testing-guide/,Web,SSI,Injection
WSTG-INPV-07,Testing for XPath Injection,Verify XPath queries are protected,High,Input Validation,"1. Identify XPath usage; 2. Test injection payloads; 3. Check parameterization","Burp Suite, Custom scripts",https://owasp.org/www-project-web-security-testing-guide/,Web,XPathInjection,Injection
WSTG-INPV-08,Testing for IMAP/SMTP Injection,Verify IMAP/SMTP commands are sanitized,Medium,Input Validation,"1. Identify email processing; 2. Test injection payloads; 3. Check filtering","Burp Suite, Manual testing",https://owasp.org/www-project-web-security-testing-guide/,Web,IMAP,SMTP,Injection
WSTG-INPV-09,Testing for Code Injection,Verify dynamic code execution is protected,Critical,Input Validation,"1. Identify code execution; 2. Test code injection; 3. Check input validation","Burp Suite, Manual review",https://owasp.org/www-project-web-security-testing-guide/,Web,CodeInjection,Injection
WSTG-INPV-10,Testing for Expression Language Injection,Verify EL expressions are protected,High,Input Validation,"1. Identify EL usage; 2. Test injection payloads; 3. Check validation","Burp Suite, Custom scripts",https://owasp.org/www-project-web-security-testing-guide/,Web,ELInjection,Injection
